lat_bin_center,lon_bin_center,flag_country_name,flag_iso3,known_label,inferred_label_allyears,inferred_sublabel_allyears,fishing_days,fishing_hours,fishing_kwh
-54.875,-62.625,Ukraine,UKR,drifting_longlines,drifting_longlines,drifting_longlines,0,0,0
-55.625,-60.875,Ukraine,UKR,drifting_longlines,drifting_longlines,drifting_longlines,0,0,0
-53.125,-63.125,Ukraine,UKR,drifting_longlines,drifting_longlines,drifting_longlines,0,0,0
-54.375,-54.875,Ukraine,UKR,drifting_longlines,drifting_longlines,drifting_longlines,0,0,0
-55.875,-60.375,Ukraine,UKR,drifting_longlines,drifting_longlines,drifting_longlines,0,0,0
-43.875,-59.875,Argentina,ARG,unknown_fishing,NA,NA,0,0,0
-48.625,-59.875,South Korea,KOR,NA,trawlers,trawlers,0,0,0
-49.125,-59.125,South Korea,KOR,NA,trawlers,trawlers,0,0,0
-43.125,-59.625,Poland,POL,unknown,trawlers,trawlers,0,0,0
-45.625,-65.375,Argentina,ARG,NA,drifting_longlines,drifting_longlines,1,1.2895833333333333,1251.627522497404
-41.125,-60.375,Argentina,ARG,NA,drifting_longlines,drifting_longlines,3,9.340416666666666,9715.771038105282
-35.625,-56.125,Invalid MMSI,NA,NA,drifting_longlines,drifting_longlines,0,0,0
-41.625,-60.875,China,CHN,NA,squid_jigger,squid_jigger,0,0,0
-51.125,-55.125,China,CHN,trawlers,trawlers,trawlers,0,0,0
-51.625,-57.375,China,CHN,trawlers,trawlers,trawlers,0,0,0
-39.125,-60.125,Argentina,ARG,NA,trawlers,trawlers,10,90.88416666666666,60688.911770009676
-39.625,-60.125,Argentina,ARG,NA,trawlers,trawlers,0,0,0
-52.375,-61.875,Spain,ESP,NA,trawlers,trawlers,1,0.6002777777777778,1436.7353900474138
-36.875,-55.375,Invalid MMSI,NA,NA,squid_jigger,squid_jigger,0,0,0
-41.875,-57.875,Germany,DEU,NA,squid_jigger,squid_jigger,0,0,0
-49.125,-59.875,Taiwan,TWN,unknown,squid_jigger,squid_jigger,0,0,0
-49.375,-58.875,United Kingdom,GBR,trawlers,trawlers,trawlers,0,0,0
-52.375,-56.125,Ukraine,UKR,NA,drifting_longlines,drifting_longlines,0,0,0
-51.125,-62.875,Spain,ESP,NA,trawlers,trawlers,17,57.182777777777815,136864.17118203625
-49.375,-60.125,Spain,ESP,NA,trawlers,trawlers,9,27.55597222222222,65953.86663386787
-51.375,-63.375,Spain,ESP,NA,trawlers,trawlers,6,25.784444444444446,61713.8018721708
-52.125,-61.875,Spain,ESP,NA,trawlers,trawlers,0,0,0
-35.875,-56.125,Argentina,ARG,NA,other_fishing,pole_and_line,0,0,0
-51.375,-67.125,Argentina,ARG,unknown_fishing,drifting_longlines,drifting_longlines,0,0,0
-50.625,-61.875,South Korea,KOR,NA,drifting_longlines,drifting_longlines,0,0,0
-50.125,-59.875,South Korea,KOR,NA,drifting_longlines,drifting_longlines,0,0,0
-49.625,-57.125,South Korea,KOR,NA,drifting_longlines,drifting_longlines,0,0,0
-52.625,-52.875,Falkland Islands,FLK,NA,trawlers,trawlers,0,0,0
-56.125,-60.375,Norway,NOR,trawlers,trawlers,trawlers,0,0,0
-46.125,-63.375,Argentina,ARG,unknown_fishing,squid_jigger,squid_jigger,5,42.81583333333334,58385.25992261579
-44.875,-63.125,Argentina,ARG,NA,cargo_or_tanker,trawlers,1,0.8566666666666665,869.7884634588
-50.875,-59.875,Taiwan,TWN,NA,purse_seines,purse_seines,0,0,0
-46.375,-63.625,Argentina,ARG,unknown_fishing,squid_jigger,squid_jigger,1,11.957499999999996,17381.821667958306
-55.625,-65.375,Argentina,ARG,NA,trawlers,trawlers,1,3.0009722222222224,3667.2806951779294
-57.875,-65.875,British Virgin Islands,VGB,NA,fixed_gear,set_gillnets,0,0,0
-49.625,-59.875,South Korea,KOR,NA,drifting_longlines,drifting_longlines,0,0,0
-48.875,-63.125,Chile,CHL,unknown,trawlers,trawlers,0,0,0
-49.875,-60.625,South Korea,KOR,NA,drifting_longlines,drifting_longlines,0,0,0
