year,mmsi,on_fishing_list,on_fishing_list_nn,flag_country_name,flag_iso3,known_label,inferred_label_allyears,inferred_sublabel_allyears,length,tonnage,engine_power,days,hours,fishing_days,fishing_hours,fishing_kwh
2016,440755000,TRUE,TRUE,South Korea,KOR,drifting_longlines,drifting_longlines,drifting_longlines,53.4,694,1489.34808199,27,363.32333333333276,4,5.545833333333334,8259.67623803621
2016,701006055,TRUE,TRUE,Argentina,ARG,NA,trawlers,trawlers,28.4766293979,229.65008707,881.654477926,149,3530.6922222222306,64,1035.807638888889,913224.4430963452
2016,701000642,TRUE,TRUE,Argentina,ARG,NA,trawlers,trawlers,43.096475568,750.854278273,1640.51083597,207,4939.299722221942,138,2325.200972222192,3814517.39073837
2015,701000588,TRUE,TRUE,Argentina,ARG,NA,fixed_gear,trawlers,37.9989004852,722.606133124,1169.27071126,229,5385.118333333238,175,3312.1465277777484,3872795.9263320966
2014,412420001,TRUE,TRUE,China,CHN,NA,squid_jigger,squid_jigger,47.6342642183,678.599298849,1225.23261883,3,56.467083333333335,1,16.310555555555556,19984.22469790554
2014,701006151,TRUE,TRUE,Argentina,ARG,NA,trawlers,trawlers,57.0621529604,850.16597041,1283.78474474,202,4689.518749999999,75,921.8340277777777,1183436.4620433403
2016,701006143,TRUE,TRUE,Argentina,ARG,NA,squid_jigger,squid_jigger,56.8388337333,804.766742397,1293.47159986,282,6718.928333332537,116,1642.410277777779,2124411.0496237236
2014,416238500,FALSE,TRUE,Taiwan,TWN,NA,squid_jigger,squid_jigger,75.7607951684,1650.876142,2525.82033265,76,1752.6319444444446,43,492.2104166666665,1243235.078358794
2014,740344000,TRUE,TRUE,Falkland Islands,FLK,NA,trawlers,trawlers,59.8250402647,1471.803246,1972.4270925,173,4094.1086111111135,161,3234.637083333345,6380085.817571813
2015,416004244,FALSE,TRUE,Taiwan,TWN,NA,purse_seines,purse_seines,72.9716528771,1436.08410739,2404.01833673,88,2094.6794444443817,61,834.9950000000056,2007343.2910778585
2014,701000578,TRUE,TRUE,Argentina,ARG,unknown_fishing,trawlers,trawlers,43.1775082253,653.487291204,1259.32274816,227,5395.279166666648,68,1255.5608333333328,1581156.3191153905
2016,701000772,TRUE,TRUE,Argentina,ARG,NA,trawlers,trawlers,49.7008023801,776.858687645,1835.2099463,337,8084.393749999438,125,1652.345694444439,3032401.253170418
2016,412371204,TRUE,TRUE,China,CHN,squid_jigger,squid_jigger,squid_jigger,72.2235603772,1253,1897.21740749,32,180.90902777777768,23,99.00000000000007,187824.5233415097
2015,770005708,TRUE,TRUE,Uruguay,URY,NA,trawlers,trawlers,27.7656372239,160.924296699,460.694990774,73,1197.9629166666693,72,1105.773472222226,509424.29958355415
2016,412331017,FALSE,TRUE,China,CHN,unknown_fishing,trawlers,trawlers,68.7662537106,1074.36181969,1986.45942794,6,88.67041666666667,2,24.5275,48722.88361879835
