year,mmsi,fishing_hours_mpa_1,fishing_hours_mpa_2,fishing_hours_mpa_3,fishing_hours_mpa_4,fishing_hours_mpa_5,fishing_hours_mpa_6,fishing_hours_mpa_7,fishing_hours_mpa_8,fishing_hours_mpa_10,fishing_hours_mpa_11,fishing_hours_mpa_12,fishing_hours_mpa_13,fishing_hours_mpa_14
2015,701006026,0,0,20.079166666666666,0,0,0,0,0,0,47.435833333333335,0.15652777777777777,41.71680555555555,6.926111111111111
2015,701006034,0,0,0,0,0,0,0,0,162.46597222222223,227.81583333333333,125.51402777777778,0,0
2015,701006037,0,0,254.78097222222223,0,0,0,0,0,0,0,0,0,0
2015,701006038,0,0,123.46916666666667,0,0,0,0,0,0,0,0,0,0
2015,701006040,0,0,96.56625,0.8109722222222222,0,0,0,0,0,7.625277777777778,0,19.44611111111111,0
2015,701006042,1.2313888888888889,1.2313888888888889,362.87375,36.14763888888889,0,0,0,0,0,0,0,0,0
2015,701006043,4.553472222222222,4.584166666666667,838.2225,12.23236111111111,0,0,0,0,0,0,0,0,0
2015,701006044,0,1.6612500000000001,685.1745833333333,0,0,0,0,0,0,0,0,0,0
2015,701006046,11.360138888888889,11.360138888888889,850.4359722222222,29.15972222222222,0,0,0,0,0,0,0,0,0
2015,701006056,0,0,26.929444444444446,0,0,0,0,0,0,0,0,0,0
2015,701006058,0,0,0,0,0,0,0,0,320.24916666666667,102.56625,80.13777777777779,0,0
2015,701006059,0,0,0,0,0,0,0,0,347.06916666666666,90.74583333333334,65.02680555555555,0,0
2015,701006060,0,0,0,0,0,0,0,0,370.33416666666665,336.2426388888889,141.26305555555555,0,0
2015,701006061,0,0,329.71444444444444,4.668611111111111,0,0,0,0,0,0,0,0,0
2015,701006063,0,0,272.92069444444445,10.178472222222222,0,0,0,0,0,0,0,0,0
2015,701006066,0,0,201.9427777777778,1.1004166666666668,0,0,0,0,0,0,0,0,0
